REF,Nom,URL,Inclu ?,Explication RETENU,Fait
TRAN2,transition_post_quantique_ssh_v2.pdf,https://messervices.cyber.gouv.fr/documents-guides/transition_post_quantique_ssh_v2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
VOLE,20231218_Volet_technique_cyberattaquesetremediation_a5_v1h.pdf,https://messervices.cyber.gouv.fr/documents-guides/20231218_Volet_technique_cyberattaquesetremediation_a5_v1h.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS35,anssi_Recommendations on hosting sensitive IS in the cloud.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi_Recommendations%20on%20hosting%20sensitive%20IS%20in%20the%20cloud.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS36,anssi-fondamentaux-securisation-acme-v1-1.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-fondamentaux-securisation-acme-v1-1.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPSE1,np_securiser_jre_notetech.pdf,https://messervices.cyber.gouv.fr/documents-guides/np_securiser_jre_notetech.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
GUID8,guideline-for-a-healthy-information-system-in-42-measures_v2.pdf,https://messervices.cyber.gouv.fr/documents-guides/guideline-for-a-healthy-information-system-in-42-measures_v2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
NPSE2,np_securisation_windows10_collecte_de_donnees_v1.2.pdf,https://messervices.cyber.gouv.fr/documents-guides/np_securisation_windows10_collecte_de_donnees_v1.2.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
VOLE1,20231218_Volet_stratégique_cyberattaquesetremédiation_v1g.pdf,https://messervices.cyber.gouv.fr/documents-guides/20231218_Volet_strat%C3%A9gique_cyberattaquesetrem%C3%A9diation_v1g.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS37,anssi-guide-recommandations_configuration_commutateurs_pare-feux_hirschmann.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-guide-recommandations_configuration_commutateurs_pare-feux_hirschmann.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
VOLE2,20231218_Volet_operationnel_cyberattaquesetremediation_a5_v1j.pdf,https://messervices.cyber.gouv.fr/documents-guides/20231218_Volet_operationnel_cyberattaquesetremediation_a5_v1j.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
ANSS38,anssi-technical-position-paper-coco-v1.0.pdf,https://messervices.cyber.gouv.fr/documents-guides/anssi-technical-position-paper-coco-v1.0.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
VIDÉ1,Vidéo IP VMS v1-0-fr.pdf,https://messervices.cyber.gouv.fr/documents-guides/Vid%C3%A9o%20IP%20VMS%20v1-0-fr.pdf,OUI,Dataset Q/R généré (PDF + HTML + Texte),True
